ID,Name_of_Covered_Entity,State,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,year,Breach_Month,Breach_Quarter,Name_of_Covered_Entity_Encoded,State_Encoded,Type_of_Breach_Encoded,Location_of_Breached_Information_Encoded
981,Yellowstone Boys and Girls Ranch,MT,543,2013-07-11,Theft,Paper,2014-06-24,2013-01-01,7,3,960,26,11,40
982,"Orlando Health, Inc.",FL,586,2014-01-28,Loss,Other Portable Electronic Device,2014-04-21,2014-01-01,1,1,602,9,4,35
983,NOVA Chiropractic & Rehab Center,VA,5534,2014-01-30,"Loss, Other",Other Portable Electronic Device,2014-04-21,2014-01-01,1,1,555,46,6,35
984,Susquehanna Health,PA,657,2013-12-05,Unauthorized Access/Disclosure,E-mail,2014-04-21,2013-01-01,12,4,788,38,22,11
985,Jewish Hospital,KY,2992,2014-01-15,Other,E-mail,2014-04-21,2014-01-01,1,1,401,17,10,11
986,Franciscan Medical Group,WA,8300,2014-01-15,Other,E-mail,2014-04-21,2014-01-01,1,1,274,48,10,11
987,Palomar Health,CA,5499,2014-02-21,Theft,Other Portable Electronic Device,2014-04-21,2014-01-01,2,1,612,4,11,35
988,"Myriad Genetic Laboratories, Inc.",UT,643,2013-03-06,Unauthorized Access/Disclosure,E-mail,2014-06-03,2013-01-01,3,1,550,45,22,11
989,Medical Center of Plano,TX,1000,2013-12-10,Unauthorized Access/Disclosure,Other,2014-06-03,2013-01-01,12,4,500,44,22,34
990,Florida Healthy Kids Corporation,FL,580,2013-11-13,Unauthorized Access/Disclosure,Paper,2014-04-21,2013-01-01,11,4,266,9,22,40
991,"Midwest Orthopaedics at Rush, LLC",IL,1256,2014-02-10,Hacking/IT Incident,E-mail,2014-04-21,2014-01-01,2,1,523,14,0,11
992,Texas Health and Human Services Commission,TX,2934,2014-02-02,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device",2014-04-21,2014-01-01,2,1,809,44,11,21
993,Kaiser Permanente Northern CA Department of Research,CA,5178,2011-10-18,Hacking/IT Incident,Network Server,2014-06-02,2011-01-01,10,4,416,4,0,30
994,Triple-S Salud ,PR,5795,2013-01-01,Theft,Other,2014-06-24,2013-01-01,1,1,845,39,11,34
995,American Health Inc. ,PR,17776,2013-01-01,Theft,Other,2014-06-27,2013-01-01,1,1,38,39,11,34
996,"State Long Term Care Ombudsman's Office, Michigan Department of Community Health",MI,2595,2014-01-30,Theft,Other Portable Electronic Device,2014-04-21,2014-01-01,1,1,771,22,11,35
997,County of Los Angeles,CA,338700,2014-02-05,Theft,"Desktop Computer, E-mail",2014-04-21,2014-01-01,2,1,202,4,11,1
998,Presence St. Joseph's Medical Center,IL,836,2013-10-22,Other,Paper,2014-06-03,2013-01-01,10,4,636,14,10,40
999,"Clinical Reference Laboratory, Inc.",KS,979,2014-02-06,Loss,Paper,2014-04-21,2014-01-01,2,1,176,16,4,40
1000,Various Health Plans,CT,527,2014-03-05,Loss,Paper,2014-06-27,2014-01-01,3,1,923,6,4,40
1001,"Amerigroup Texas, Inc. ",VA,75026,2012-04-01,Theft,Paper,2014-05-13,2012-01-01,4,2,42,46,11,40
1002,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,2546,2013-08-16,Unauthorized Access/Disclosure,Other,2014-04-21,2013-01-01,8,3,64,24,22,34
1003,"University Urology, P.C.",TN,1144,2013-03-07,Unauthorized Access/Disclosure,Paper,2014-05-13,2013-01-01,3,1,876,43,22,40
1004,"Healthy Connections, Inc",CA,793,2014-03-25,Loss,Other Portable Electronic Device,2014-06-03,2014-01-01,3,1,339,4,4,35
1005,Administracion de Seguros de Salud,PR,46473,2013-05-08,Theft,Other Portable Electronic Device,2014-06-03,2013-01-01,5,2,11,39,11,35
1006,Greenwood Leflore Hospital,MS,3750,2014-02-23,Theft,Other,2014-05-09,2014-01-01,2,1,301,25,11,34
1007,Maryland Developmental Disabilities Administration,MD,10766,2013-11-27,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-06-11,2013-01-01,11,4,492,20,24,30
1008,Los Robles Hospital and Medical Center,CA,2523,2014-02-14,"Theft, Unauthorized Access/Disclosure",Paper,2014-05-09,2014-01-01,2,1,470,4,19,40
1009,Shaker Clinic,OH,617,2014-02-18,Loss,Paper,2014-05-27,2014-01-01,2,1,712,35,4,40
1010,VGM Homelink,IA,1400,2014-02-28,Other,Other,2014-05-27,2014-01-01,2,1,916,12,10,34
1011,Larsen Dental Care LLC,ID,6900,2014-03-04,Theft,Other Portable Electronic Device,2014-05-27,2014-01-01,3,1,449,13,11,35
1012,The Union Labor Life Insurance Company,MD,46771,2014-02-17,Theft,Laptop,2014-05-27,2014-01-01,2,1,830,20,11,16
1013,Coordinated Health,PA,733,2014-02-21,Theft,Laptop,2014-05-29,2014-01-01,2,1,198,38,11,16
1014,CENTURA HEALTH,CO,12286,2014-02-11,Hacking/IT Incident,E-mail,2014-05-29,2014-01-01,2,1,111,5,0,11
1015,"Ladies First Choice, Inc.",FL,2365,2013-01-01,"Theft, Unauthorized Access/Disclosure",Laptop,2014-05-29,2013-01-01,1,1,440,9,19,16
1016,"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ",MA,8830,2014-04-10,Theft,Other,2014-05-09,2014-01-01,4,2,850,19,11,34
1017,Developmental Disabilities Administration,MD,2200,2014-03-03,Unauthorized Access/Disclosure,Paper,2014-05-29,2014-01-01,3,1,232,20,22,40
1018,Willis North America Inc. Medical Expense Benefit Plan,NY,4830,2014-03-19,Unauthorized Access/Disclosure,E-mail,2014-05-29,2014-01-01,3,1,949,34,22,11
1019,Sorenson Communications/CaptionCall Group Health Plan,UT,9800,2014-02-20,Hacking/IT Incident,Network Server,2014-05-27,2014-01-01,2,1,727,45,0,30
1020,Baylor Medical Center at McKinney,TX,1253,2014-01-23,Hacking/IT Incident,E-mail,2014-05-09,2014-01-01,1,1,77,44,0,11
1021,Baylor Medical Center at Irving,TX,2308,2014-01-23,Hacking/IT Incident,E-mail,2014-05-09,2014-01-01,1,1,76,44,0,11
1022,Baylor Regional Medical Center at Plano,TX,1981,2014-01-23,Hacking/IT Incident,E-mail,2014-05-07,2014-01-01,1,1,78,44,0,11
1023,HealthTexas Provider Network,TX,2742,2014-01-23,Hacking/IT Incident,E-mail,2014-05-07,2014-01-01,1,1,338,44,0,11
1024,DeKalb Health,IN,1361,2014-02-09,Hacking/IT Incident,Network Server,2014-05-27,2014-01-01,2,1,218,15,0,30
1025,Iowa Medicaid Enterprise,IA,862,2014-02-26,Unauthorized Access/Disclosure,Paper,2014-05-29,2014-01-01,2,1,388,12,22,40
1026,Flowers Hospital,AL,629,2013-06-03,Theft,Paper,2014-06-20,2013-01-01,6,2,268,1,11,40
1027,Reading Health System,PA,1845,2012-03-02,Loss,Paper,2014-05-27,2012-01-01,3,1,651,38,4,40
1028,City of Cincinnati,OH,5696,2014-04-04,Other,Paper,2014-05-07,2014-01-01,4,2,165,35,10,40
1029,UMass Memorial Medical Center,MA,2387,2002-05-06,Unauthorized Access/Disclosure,"Electronic Medical Record, Paper",2014-05-27,2002-01-01,5,2,854,19,22,15
1030,The City of Henderson,KY,1008,2012-06-27,Other,E-mail,2014-05-27,2012-01-01,6,2,816,17,10,11
1031,Options Counseling Center,NJ,2828,2011-05-01,"Theft, Unauthorized Access/Disclosure",Paper,2014-06-18,2011-01-01,5,2,598,31,19,40
1032,"Molina Healthcare of California Partner Plan, Inc.",CA,4744,2014-03-18,Other,Paper,2014-05-27,2014-01-01,3,1,534,4,10,40
1033,Howard L. Weinstein D.P.M.,TX,1000,2014-03-13,Theft,Laptop,2014-05-27,2014-01-01,3,1,359,44,11,16
1034,"Bio-Reference Laboratories, Inc.",NJ,1749,2014-02-02,Other,Network Server,2014-06-18,2014-01-01,2,1,86,31,10,30
1035,American Health Inc. ,PR,11531,2013-09-20,Unauthorized Access/Disclosure,Paper,2014-06-18,2013-01-01,9,3,38,39,22,40
1036,Central City Concern,OR,17914,2010-03-23,Unauthorized Access/Disclosure,Other,2014-06-18,2010-01-01,3,1,147,37,22,34
1037,Blue Cross Blue Shield of Michigan/Blue Care Network,MI,502,2014-02-15,"Unauthorized Access/Disclosure, Hacking/IT Incident",E-mail,2014-06-18,2014-01-01,2,1,90,22,24,11
1038,Elliot Health System,NH,1208,2014-03-26,Theft,Desktop Computer,2014-06-18,2014-01-01,3,1,248,30,11,0
1039,Humana Inc [case #15381],KY,2962,2014-04-02,Theft,Other Portable Electronic Device,2014-06-18,2014-01-01,4,2,361,17,11,35
1040,Jamaica Hospital Medical Center,NY,26162,2011-08-01,Unauthorized Access/Disclosure,Desktop Computer,2014-06-18,2011-01-01,8,3,392,34,22,0
1041,Bay Park Hospital,OH,594,2013-04-01,Unauthorized Access/Disclosure,"Network Server, Electronic Medical Record",2014-06-18,2013-01-01,4,2,71,35,22,32
1042,Triple-S Salud ,PR,56853,2013-09-20,Unauthorized Access/Disclosure,Paper,2014-06-18,2013-01-01,9,3,845,39,22,40
1043,Aetna Life Insurance Company,CT,3814,2014-04-02,Theft,Laptop,2014-06-18,2014-01-01,4,2,24,6,11,16
1044,Salina Health Education Foundation dba Salina Family Healthcare Center,KS,9640,2014-04-08,Unauthorized Access/Disclosure,E-mail,2014-06-20,2014-01-01,4,2,696,16,22,11
1045,Highmark Inc.,PA,2589,2014-04-19,"Loss, Unauthorized Access/Disclosure",Paper,2014-06-27,2014-01-01,4,2,344,38,7,40
1046,Mark A. Gillispie,CA,5845,2013-11-20,Theft,Desktop Computer,2014-06-27,2013-01-01,11,4,488,4,11,0
1047,Penn State Milton S Hershey Medical Center,PA,1801,2013-09-13,Other,"E-mail, Other Portable Electronic Device",2014-06-27,2013-01-01,9,3,622,38,10,13
1048,Walgreen Co.,IL,540,2014-03-03,Theft,"Desktop Computer, Paper",2014-06-20,2014-01-01,3,1,937,14,11,10
1049,St. Francis Hospital,GA,1175,2014-05-30,Other,E-mail,2014-06-18,2014-01-01,5,2,751,10,10,11
1050,Puerto Rico Health Insurance ,PR,28413,2013-09-20,Theft,Other,2014-06-27,2013-01-01,9,3,643,39,11,34
1051,"Hospitalists of Brandon, LLC",FL,1831,2014-02-11,Hacking/IT Incident,Other,2014-06-27,2014-01-01,2,1,358,9,0,34
1052,Santa Rosa Memorial Hospital ,CA,33702,2014-06-02,"Theft, Loss",Other Portable Electronic Device,2014-06-27,2014-01-01,6,2,701,4,14,35
1053,Group Health Plan of Hurley Medical Center,MI,2289,2014-05-13,Unauthorized Access/Disclosure,E-mail,2014-06-27,2014-01-01,5,2,305,22,22,11
1054,"Abrham Tekola, M.D.,INC",CA,5471,2014-05-27,Theft,Desktop Computer,2014-06-27,2014-01-01,5,2,6,4,11,0
